num_lines,num_chars,num_tokens,num_IfStmt,avgTokenLength,numMethods,avgMethodLength,numSwitchStmt,numOfLoops,is_ai_generated
24,614,92,0,6.673913043,1,14,0,1,1
323,12334,1107,11,11.14182475,20,8,0,0,0
50,2577,328,0,7.856707317,4,2,0,0,0
44,1129,200,1,5.645,1,15,0,1,1
81,1834,261,0,7.026819923,5,2,0,0,0
89,1864,288,2,6.472222222,12,2,0,0,1
269,8676,1163,30,7.460017197,5,23,0,3,0
94,2762,281,0,9.829181495,4,15,0,0,0
45,1087,132,1,8.234848485,3,1,0,0,1
235,5812,964,0,6.029045643,27,2,0,0,0
73,1783,208,0,8.572115385,7,3,0,0,0
46,779,123,0,6.333333333,8,2,0,0,1
82,2343,241,0,9.721991701,7,7,0,0,1
58,1952,246,0,7.93495935,2,8,0,0,1
42,1104,157,4,7.031847134,1,15,0,0,1
237,6173,629,3,9.813990461,22,12,1,0,0
66,1222,228,0,5.359649123,2,9,1,0,0
33,869,106,1,8.198113208,1,8,0,1,1
29,631,83,0,7.602409639,4,3,0,0,0
86,1807,293,0,6.167235495,2,15,1,0,0
20,368,57,0,6.456140351,1,2,0,0,1
86,2584,296,1,8.72972973,3,2,0,0,1
56,1307,205,0,6.375609756,4,2,0,0,1
17,502,63,0,7.968253968,1,0,0,0,0
7,143,20,0,7.15,1,2,0,0,1
26,636,118,1,5.389830508,2,8,0,0,1
53,1789,273,0,6.553113553,0,0,0,0,1
52,1300,154,0,8.961038961,4,12,0,0,1
83,2508,293,2,8.559726962,3,1,0,0,1
40,978,167,2,5.856287425,1,23,0,2,1
61,1649,221,0,7.461538462,1,21,0,1,0
33,869,106,1,8.198113208,1,8,0,1,1
29,673,115,0,5.852173913,1,13,0,1,0
36,1365,153,0,8.921568627,1,24,0,0,1
33,1047,167,3,6.269461078,1,18,0,1,1
19,353,45,1,7.844444444,1,10,0,1,0
31,1117,99,0,11.28282828,1,12,0,0,0
60,1670,211,2,7.914691943,5,2,0,1,0
67,2134,287,1,7.43554007,1,41,0,6,0
47,1483,201,1,7.378109453,1,31,0,1,1
136,4771,416,5,11.46875,10,2,0,0,0
54,1550,227,4,6.828193833,1,13,0,1,0
8,152,27,0,5.62962963,1,0,0,0,1
21,520,95,1,5.473684211,1,15,0,1,1
54,1080,147,0,7.346938776,10,2,0,0,1
58,1779,212,1,8.391509434,1,19,0,0,1
147,5875,621,2,9.460547504,6,1,1,2,0
31,715,90,0,7.944444444,4,2,0,0,0
73,3639,574,0,6.339721254,9,0,0,0,0
116,2845,347,0,8.198847262,5,7,0,0,0
897,27770,3159,102,8.790756569,57,27,5,2,0
96,2659,321,3,8.283489097,3,4,0,4,1
62,1562,192,0,8.135416667,5,4,1,0,0
59,1445,297,2,4.865319865,1,21,0,0,1
49,1008,157,2,6.420382166,6,4,0,0,1
31,949,165,0,5.751515152,1,12,0,1,0
66,2048,196,0,10.44897959,8,2,0,0,1
161,5486,506,7,10.84189723,10,9,0,2,1
38,668,120,0,5.566666667,4,2,0,0,1
53,1249,168,0,7.43452381,2,16,0,1,0
28,781,76,0,10.27631579,2,4,0,0,1
126,3876,386,3,10.04145078,5,12,0,0,0
100,1934,364,0,5.313186813,11,2,0,0,1
41,1133,150,0,7.553333333,1,23,0,3,1
396,17129,1692,0,10.12352246,0,0,0,0,1
40,1130,132,0,8.560606061,0,0,0,0,0
59,1367,226,0,6.048672566,4,2,0,0,0
66,999,188,2,5.313829787,12,2,0,0,0
62,1653,257,0,6.431906615,3,2,0,1,1
159,4731,806,3,5.869727047,5,22,0,1,0
77,2140,265,3,8.075471698,4,10,0,0,1
21,597,65,0,9.184615385,2,3,0,0,1
24,520,60,0,8.666666667,0,0,0,0,1
180,5438,463,9,11.74514039,2,7,0,0,0
32,919,146,0,6.294520548,1,14,0,1,0
90,2689,309,2,8.702265372,5,2,0,0,1
58,2657,387,0,6.865633075,0,0,0,0,0
27,701,114,0,6.149122807,6,0,0,0,0
75,1712,343,4,4.991253644,5,7,0,4,1
30,525,97,2,5.412371134,1,16,0,2,0
91,2965,362,4,8.190607735,2,25,0,1,1
30,868,146,0,5.945205479,1,7,0,0,1
99,2961,387,2,7.651162791,6,14,0,1,1
129,4154,392,0,10.59693878,2,65,0,2,0
44,1162,196,0,5.928571429,1,2,0,0,0
17,358,56,0,6.392857143,0,0,0,0,0
71,2025,338,4,5.99112426,1,13,0,0,0
58,971,186,0,5.220430108,6,2,0,0,0
136,2550,434,0,5.875576037,18,2,0,0,1
262,4573,830,0,5.509638554,28,2,0,0,0
75,2403,383,0,6.274151436,4,3,0,0,1
81,2090,365,6,5.726027397,1,19,0,0,0
27,782,99,0,7.898989899,1,14,0,1,0
286,10579,1316,34,8.038753799,38,2,5,2,1
37,480,115,0,4.173913043,4,2,0,0,1
32,1361,182,0,7.478021978,3,0,0,0,0
64,1841,286,3,6.437062937,4,10,0,6,1
88,2174,343,4,6.33819242,1,14,0,0,0
61,1227,205,2,5.985365854,7,2,0,0,1
24,409,79,0,5.17721519,2,2,0,0,1
42,832,179,2,4.648044693,2,6,0,3,1
29,759,124,0,6.120967742,1,12,0,1,0
46,867,118,0,7.347457627,8,2,0,0,1
119,2762,516,0,5.352713178,9,2,0,0,0
100,4101,327,2,12.5412844,2,32,0,2,1
180,5281,445,9,11.86741573,2,7,0,0,0
73,2366,255,1,9.278431373,2,5,0,0,1
26,764,115,4,6.643478261,1,22,0,1,1
53,1206,140,1,8.614285714,5,7,0,0,0
114,3389,376,6,9.013297872,4,3,2,0,0
8,180,32,0,5.625,0,0,0,0,1
159,5799,655,10,8.853435115,9,7,0,1,1
53,2475,342,0,7.236842105,4,0,0,0,0
67,1686,298,0,5.657718121,1,18,0,3,1
13,212,38,0,5.578947368,1,0,0,0,0
42,1234,118,0,10.45762712,1,7,0,0,1
58,1058,206,0,5.13592233,2,7,7,0,0
41,898,139,3,6.460431655,4,5,0,0,1
45,1076,197,0,5.461928934,0,0,0,1,0
66,1517,182,0,8.335164835,6,7,0,0,0
80,3035,352,9,8.622159091,5,2,0,0,0
134,4255,408,17,10.42892157,3,29,0,3,0
44,1472,265,0,5.554716981,1,0,0,0,0
44,1265,233,0,5.429184549,1,12,0,0,1
113,4164,395,0,10.54177215,8,3,0,0,1
51,1578,315,0,5.00952381,2,13,0,0,1
105,2486,373,0,6.664879357,28,2,0,0,0
176,7513,922,7,8.148590022,31,1,1,1,1
25,595,93,1,6.397849462,1,15,0,1,1
43,955,137,0,6.97080292,2,13,0,0,0
79,2043,206,0,9.917475728,23,0,0,0,0
116,4640,402,0,11.54228856,8,3,0,0,0
76,1833,190,1,9.647368421,2,7,0,0,0
40,965,132,0,7.310606061,2,10,0,1,0
323,10553,10553,29,8.238095238,37,13,5,2,1
59,945,147,0,6.428571429,3,6,0,0,0
58,1302,187,0,6.962566845,2,2,0,0,0
88,2206,259,1,8.517374517,2,2,0,0,1
115,2157,414,0,5.210144928,13,2,0,0,1
609,19454,2142,57,9.0821662,42,18,5,2,0
51,1137,196,1,5.801020408,1,26,0,3,1
56,1332,152,2,8.763157895,2,13,0,0,1
81,2508,273,4,9.186813187,7,20,1,0,0
46,925,184,2,5.027173913,7,2,0,0,1
19,363,75,0,4.84,1,7,0,1,0
213,7724,1236,8,6.249190939,5,14,0,3,0
38,1236,227,4,5.444933921,1,20,0,2,0
73,1786,189,1,9.44973545,2,7,0,0,0
196,4735,642,0,7.375389408,27,2,0,0,0
21,410,83,2,4.939759036,1,14,0,1,1
135,4846,503,3,9.634194831,5,14,0,2,1
30,749,136,0,5.507352941,3,0,0,0,1
143,2668,409,0,6.523227384,22,2,0,0,1
100,1789,330,0,5.421212121,19,2,0,0,0
36,1116,103,0,10.83495146,13,0,0,0,1
152,3920,439,5,8.929384966,5,11,0,0,0
75,2011,348,0,5.778735632,4,2,0,0,0
150,3893,591,8,6.58714044,10,3,0,0,0
31,525,119,0,4.411764706,5,2,0,0,1
67,2219,190,0,11.67894737,5,3,0,0,0
108,1815,394,0,4.606598985,9,2,0,0,0
52,1104,217,0,5.087557604,1,14,0,4,1
29,620,93,0,6.666666667,1,13,0,1,0
28,701,108,0,6.490740741,1,12,0,1,0
35,1177,206,0,5.713592233,3,0,0,0,0
